Pelajaran Favorit,Minat Utama,Keterampilan Unggulan,Lingkungan Kerja,Tipe Kepribadian,Gaya Belajar,Fakultas
Biologi,Sains,Komunikasi,Kantor,Ekstrovert,Visual,FITB
Fisika,Kesehatan,Pemecahan masalah,Kantor,Introvert,Auditori,FTTM
Kimia,Seni,Pemecahan masalah,Lapangan,Introvert,Auditori,FSRD
Fisika,Seni,Analitis,Remote,Introvert,Kinestetik,FTSL
Fisika,Bisnis,Komunikasi,Lapangan,Introvert,Kinestetik,FMIPA
Kimia,Teknologi,Teknis,Kantor,Ekstrovert,Kinestetik,SITH
Fisika,Kesehatan,Kreativitas,Kantor,Introvert,Kinestetik,FTTM
Biologi,Teknologi,Pemecahan masalah,Kantor,Ekstrovert,Auditori,SITH
Seni Budaya,Bisnis,Analitis,Lapangan,Ekstrovert,Kinestetik,FTTM
Seni Budaya,Bisnis,Analitis,Kantor,Introvert,Kinestetik,STEI
Seni Budaya,Teknik,Kreativitas,Remote,Ekstrovert,Visual,FSRD
Kimia,Seni,Kreativitas,Kantor,Introvert,Auditori,STEI
Matematika,Kesehatan,Pemecahan masalah,Remote,Ekstrovert,Kinestetik,STEI
Matematika,Seni,Analitis,Lapangan,Introvert,Kinestetik,SITH
Matematika,Bisnis,Komunikasi,Remote,Ekstrovert,Kinestetik,FMIPA
Fisika,Sains,Kreativitas,Lapangan,Introvert,Visual,SITH
Fisika,Kesehatan,Komunikasi,Remote,Ekstrovert,Auditori,FTSL
Biologi,Teknik,Pemecahan masalah,Remote,Introvert,Kinestetik,FITB
Kimia,Teknik,Pemecahan masalah,Remote,Introvert,Auditori,STEI
Seni Budaya,Teknik,Analitis,Kantor,Ekstrovert,Visual,FITB
Fisika,Teknik,Pemecahan masalah,Kantor,Introvert,Auditori,FSRD
Biologi,Seni,Analitis,Kantor,Ekstrovert,Kinestetik,SF
Seni Budaya,Teknik,Komunikasi,Kantor,Introvert,Kinestetik,FTI
Seni Budaya,Bisnis,Teknis,Remote,Ekstrovert,Auditori,STEI
Kimia,Teknologi,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,SBM
Fisika,Sains,Teknis,Lapangan,Ekstrovert,Visual,FMIPA
Kimia,Seni,Komunikasi,Remote,Introvert,Visual,FTMD
Seni Budaya,Seni,Analitis,Remote,Ekstrovert,Visual,FTI
Seni Budaya,Bisnis,Komunikasi,Remote,Introvert,Kinestetik,SF
Matematika,Kesehatan,Analitis,Lapangan,Ekstrovert,Kinestetik,FTMD
Matematika,Kesehatan,Kreativitas,Remote,Introvert,Kinestetik,FMIPA
Biologi,Kesehatan,Analitis,Remote,Ekstrovert,Kinestetik,FTTM
Biologi,Kesehatan,Teknis,Remote,Ekstrovert,Kinestetik,FTSL
Matematika,Seni,Analitis,Kantor,Ekstrovert,Visual,FSRD
Fisika,Kesehatan,Analitis,Remote,Ekstrovert,Auditori,FTMD
Biologi,Bisnis,Analitis,Lapangan,Ekstrovert,Kinestetik,SAPPK
Matematika,Kesehatan,Pemecahan masalah,Remote,Introvert,Visual,FTTM
Fisika,Seni,Teknis,Lapangan,Ekstrovert,Visual,SF
Kimia,Teknologi,Analitis,Kantor,Ekstrovert,Auditori,FITB
Fisika,Teknik,Analitis,Lapangan,Ekstrovert,Auditori,SF
Matematika,Seni,Komunikasi,Kantor,Ekstrovert,Kinestetik,SITH
Fisika,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Visual,FTTM
Biologi,Sains,Teknis,Lapangan,Introvert,Visual,SBM
Matematika,Seni,Pemecahan masalah,Kantor,Ekstrovert,Visual,SBM
Biologi,Kesehatan,Kreativitas,Remote,Ekstrovert,Auditori,SF
Biologi,Seni,Analitis,Lapangan,Ekstrovert,Kinestetik,SBM
Kimia,Teknik,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FTTM
Matematika,Sains,Analitis,Lapangan,Ekstrovert,Kinestetik,SBM
Matematika,Kesehatan,Kreativitas,Kantor,Introvert,Kinestetik,SITH
Kimia,Sains,Kreativitas,Remote,Introvert,Kinestetik,SBM
Matematika,Seni,Komunikasi,Remote,Introvert,Visual,FITB
Biologi,Sains,Teknis,Remote,Introvert,Visual,FITB
Fisika,Bisnis,Teknis,Kantor,Introvert,Visual,SBM
Kimia,Seni,Analitis,Remote,Ekstrovert,Visual,FTI
Kimia,Sains,Kreativitas,Remote,Introvert,Visual,SAPPK
Matematika,Teknik,Teknis,Kantor,Ekstrovert,Visual,SF
Fisika,Sains,Komunikasi,Kantor,Introvert,Kinestetik,FMIPA
Kimia,Teknik,Kreativitas,Kantor,Ekstrovert,Kinestetik,FITB
Kimia,Sains,Pemecahan masalah,Kantor,Ekstrovert,Auditori,SAPPK
Seni Budaya,Kesehatan,Komunikasi,Remote,Ekstrovert,Auditori,SITH
Fisika,Teknik,Teknis,Lapangan,Introvert,Visual,SBM
Biologi,Teknologi,Pemecahan masalah,Kantor,Ekstrovert,Auditori,FTSL
Seni Budaya,Bisnis,Teknis,Lapangan,Introvert,Kinestetik,STEI
Kimia,Sains,Teknis,Remote,Introvert,Kinestetik,FMIPA
Matematika,Sains,Komunikasi,Kantor,Ekstrovert,Visual,FTI
Kimia,Sains,Analitis,Remote,Ekstrovert,Kinestetik,SBM
Seni Budaya,Sains,Teknis,Lapangan,Introvert,Auditori,SBM
Kimia,Bisnis,Komunikasi,Remote,Introvert,Kinestetik,FTSL
Seni Budaya,Bisnis,Komunikasi,Lapangan,Ekstrovert,Visual,FMIPA
Fisika,Teknologi,Kreativitas,Lapangan,Ekstrovert,Visual,FTSL
Fisika,Teknologi,Komunikasi,Remote,Ekstrovert,Visual,FTMD
Fisika,Sains,Pemecahan masalah,Kantor,Introvert,Kinestetik,FTSL
Matematika,Teknik,Pemecahan masalah,Remote,Ekstrovert,Visual,FMIPA
Fisika,Seni,Teknis,Kantor,Ekstrovert,Auditori,FMIPA
Seni Budaya,Teknik,Teknis,Remote,Ekstrovert,Visual,FITB
Kimia,Seni,Kreativitas,Kantor,Introvert,Auditori,SAPPK
Fisika,Teknik,Analitis,Lapangan,Ekstrovert,Visual,STEI
Matematika,Seni,Pemecahan masalah,Kantor,Introvert,Visual,SF
Biologi,Seni,Komunikasi,Remote,Ekstrovert,Visual,STEI
Fisika,Seni,Kreativitas,Kantor,Ekstrovert,Kinestetik,FTMD
Biologi,Kesehatan,Kreativitas,Kantor,Introvert,Kinestetik,SAPPK
Biologi,Teknik,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FTI
Kimia,Sains,Kreativitas,Kantor,Introvert,Visual,SAPPK
Kimia,Teknik,Kreativitas,Lapangan,Introvert,Auditori,SITH
Biologi,Teknik,Kreativitas,Remote,Introvert,Visual,FSRD
Seni Budaya,Seni,Teknis,Remote,Introvert,Kinestetik,SF
Matematika,Kesehatan,Analitis,Kantor,Introvert,Auditori,FSRD
Biologi,Teknik,Teknis,Kantor,Introvert,Visual,SF
Seni Budaya,Kesehatan,Teknis,Remote,Ekstrovert,Auditori,FTMD
Kimia,Kesehatan,Komunikasi,Remote,Introvert,Visual,FSRD
Fisika,Bisnis,Kreativitas,Lapangan,Ekstrovert,Visual,SBM
Biologi,Teknologi,Kreativitas,Kantor,Ekstrovert,Visual,SF
Kimia,Teknologi,Teknis,Kantor,Introvert,Auditori,FTSL
Fisika,Sains,Kreativitas,Kantor,Ekstrovert,Visual,SAPPK
Kimia,Kesehatan,Kreativitas,Lapangan,Ekstrovert,Kinestetik,FMIPA
Kimia,Teknologi,Kreativitas,Kantor,Ekstrovert,Auditori,FTI
Biologi,Sains,Teknis,Kantor,Introvert,Auditori,FSRD
Kimia,Seni,Teknis,Remote,Introvert,Auditori,FTTM
Seni Budaya,Sains,Komunikasi,Kantor,Ekstrovert,Visual,SF
Fisika,Teknologi,Pemecahan masalah,Remote,Introvert,Visual,STEI
Biologi,Teknik,Pemecahan masalah,Remote,Ekstrovert,Visual,FITB
Biologi,Kesehatan,Analitis,Lapangan,Introvert,Auditori,FTSL
Kimia,Sains,Kreativitas,Lapangan,Introvert,Auditori,FTI
Kimia,Teknologi,Analitis,Remote,Introvert,Visual,FSRD
Biologi,Seni,Komunikasi,Lapangan,Ekstrovert,Kinestetik,SBM
Fisika,Kesehatan,Analitis,Remote,Introvert,Auditori,SBM
Kimia,Seni,Pemecahan masalah,Kantor,Introvert,Kinestetik,SBM
Seni Budaya,Teknologi,Komunikasi,Lapangan,Ekstrovert,Kinestetik,FTI
Seni Budaya,Seni,Analitis,Lapangan,Introvert,Kinestetik,FSRD
Biologi,Bisnis,Kreativitas,Lapangan,Ekstrovert,Kinestetik,FTMD
Matematika,Kesehatan,Analitis,Kantor,Introvert,Kinestetik,STEI
Matematika,Seni,Pemecahan masalah,Kantor,Introvert,Kinestetik,FITB
Matematika,Teknik,Analitis,Remote,Ekstrovert,Auditori,SAPPK
Biologi,Kesehatan,Kreativitas,Kantor,Ekstrovert,Visual,FTI
Seni Budaya,Sains,Kreativitas,Remote,Ekstrovert,Kinestetik,FTI
Kimia,Seni,Pemecahan masalah,Kantor,Ekstrovert,Visual,SBM
Fisika,Seni,Pemecahan masalah,Lapangan,Introvert,Auditori,SAPPK
Seni Budaya,Seni,Komunikasi,Remote,Ekstrovert,Visual,FMIPA
Kimia,Teknologi,Komunikasi,Kantor,Introvert,Auditori,SBM
Fisika,Kesehatan,Analitis,Lapangan,Ekstrovert,Auditori,FTI
Seni Budaya,Bisnis,Analitis,Kantor,Ekstrovert,Visual,FTSL
Kimia,Bisnis,Komunikasi,Kantor,Ekstrovert,Kinestetik,FMIPA
Matematika,Bisnis,Kreativitas,Kantor,Introvert,Kinestetik,FTI
Biologi,Sains,Teknis,Kantor,Introvert,Auditori,SITH
Biologi,Seni,Pemecahan masalah,Kantor,Introvert,Auditori,SAPPK
Matematika,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FMIPA
Biologi,Teknik,Teknis,Kantor,Ekstrovert,Visual,FTI
Seni Budaya,Sains,Pemecahan masalah,Kantor,Introvert,Visual,SAPPK
Seni Budaya,Sains,Kreativitas,Lapangan,Ekstrovert,Kinestetik,STEI
Biologi,Bisnis,Teknis,Remote,Ekstrovert,Kinestetik,FSRD
Fisika,Teknologi,Teknis,Kantor,Ekstrovert,Kinestetik,FSRD
Seni Budaya,Sains,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FTSL
Fisika,Bisnis,Komunikasi,Lapangan,Ekstrovert,Auditori,SBM
Fisika,Teknologi,Analitis,Kantor,Introvert,Visual,FMIPA
Matematika,Sains,Analitis,Kantor,Introvert,Visual,FTMD
Fisika,Teknologi,Analitis,Lapangan,Ekstrovert,Visual,FTSL
Biologi,Teknologi,Kreativitas,Remote,Introvert,Kinestetik,SITH
Biologi,Sains,Teknis,Lapangan,Ekstrovert,Visual,FITB
Biologi,Bisnis,Analitis,Remote,Introvert,Visual,FTMD
Kimia,Teknologi,Kreativitas,Lapangan,Ekstrovert,Auditori,SITH
Kimia,Bisnis,Kreativitas,Lapangan,Introvert,Visual,FITB
Kimia,Bisnis,Pemecahan masalah,Lapangan,Introvert,Visual,FTTM
Seni Budaya,Sains,Teknis,Lapangan,Ekstrovert,Auditori,FTI
Biologi,Sains,Komunikasi,Kantor,Ekstrovert,Visual,FTI
Seni Budaya,Sains,Komunikasi,Lapangan,Ekstrovert,Kinestetik,STEI
Kimia,Seni,Teknis,Lapangan,Ekstrovert,Visual,FMIPA
Biologi,Kesehatan,Kreativitas,Remote,Ekstrovert,Kinestetik,FTI
Seni Budaya,Sains,Teknis,Lapangan,Introvert,Kinestetik,STEI
Kimia,Teknologi,Pemecahan masalah,Kantor,Ekstrovert,Auditori,FTTM
Matematika,Teknik,Kreativitas,Kantor,Introvert,Auditori,SITH
Seni Budaya,Teknologi,Komunikasi,Lapangan,Ekstrovert,Auditori,FTI
Biologi,Teknologi,Kreativitas,Lapangan,Introvert,Kinestetik,STEI
Biologi,Sains,Teknis,Remote,Ekstrovert,Auditori,FMIPA
Fisika,Teknologi,Teknis,Remote,Ekstrovert,Visual,STEI
Kimia,Teknologi,Analitis,Kantor,Ekstrovert,Visual,SF
Kimia,Seni,Pemecahan masalah,Kantor,Ekstrovert,Auditori,FTTM
Biologi,Seni,Komunikasi,Lapangan,Introvert,Kinestetik,FSRD
Matematika,Teknik,Kreativitas,Kantor,Ekstrovert,Kinestetik,FTSL
Biologi,Bisnis,Komunikasi,Lapangan,Introvert,Visual,SITH
Matematika,Teknologi,Teknis,Kantor,Introvert,Visual,SF
Fisika,Sains,Teknis,Kantor,Ekstrovert,Kinestetik,FTMD
Biologi,Kesehatan,Kreativitas,Remote,Ekstrovert,Kinestetik,STEI
Fisika,Seni,Pemecahan masalah,Lapangan,Introvert,Visual,SAPPK
Matematika,Teknologi,Pemecahan masalah,Kantor,Ekstrovert,Auditori,SBM
Seni Budaya,Seni,Analitis,Lapangan,Ekstrovert,Kinestetik,SAPPK
Matematika,Teknik,Komunikasi,Kantor,Introvert,Visual,SAPPK
Fisika,Seni,Kreativitas,Remote,Introvert,Visual,SF
Matematika,Teknologi,Teknis,Kantor,Introvert,Auditori,STEI
Fisika,Teknik,Pemecahan masalah,Remote,Ekstrovert,Kinestetik,FTI
Biologi,Sains,Teknis,Remote,Introvert,Visual,SITH
Kimia,Teknologi,Pemecahan masalah,Kantor,Introvert,Visual,FMIPA
Fisika,Bisnis,Analitis,Kantor,Introvert,Visual,FSRD
Kimia,Teknik,Teknis,Remote,Ekstrovert,Visual,SBM
Fisika,Teknologi,Analitis,Remote,Ekstrovert,Auditori,FTTM
Matematika,Sains,Teknis,Kantor,Introvert,Visual,STEI
Kimia,Sains,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FTI
Seni Budaya,Teknik,Pemecahan masalah,Remote,Ekstrovert,Auditori,SITH
Matematika,Teknologi,Teknis,Lapangan,Ekstrovert,Visual,SAPPK
Biologi,Teknologi,Pemecahan masalah,Remote,Ekstrovert,Auditori,FTMD
Biologi,Teknologi,Komunikasi,Lapangan,Introvert,Kinestetik,STEI
Biologi,Teknik,Analitis,Remote,Introvert,Auditori,STEI
Kimia,Kesehatan,Kreativitas,Remote,Introvert,Auditori,SITH
Biologi,Bisnis,Analitis,Remote,Introvert,Visual,FTMD
Kimia,Bisnis,Analitis,Lapangan,Introvert,Kinestetik,SBM
Fisika,Teknik,Pemecahan masalah,Remote,Ekstrovert,Auditori,FTMD
Fisika,Seni,Teknis,Kantor,Ekstrovert,Auditori,SAPPK
Fisika,Teknologi,Analitis,Lapangan,Introvert,Visual,FTMD
Fisika,Sains,Kreativitas,Remote,Ekstrovert,Kinestetik,SF
Matematika,Sains,Analitis,Remote,Ekstrovert,Kinestetik,FTI
Fisika,Sains,Teknis,Kantor,Introvert,Auditori,SAPPK
Biologi,Sains,Kreativitas,Kantor,Introvert,Kinestetik,STEI
Biologi,Teknologi,Komunikasi,Lapangan,Introvert,Kinestetik,FITB
Kimia,Teknik,Teknis,Lapangan,Introvert,Visual,FTSL
Seni Budaya,Sains,Analitis,Kantor,Ekstrovert,Kinestetik,FITB
Fisika,Seni,Teknis,Remote,Ekstrovert,Kinestetik,STEI
Biologi,Bisnis,Teknis,Lapangan,Introvert,Kinestetik,FTI
Fisika,Teknik,Teknis,Kantor,Ekstrovert,Kinestetik,FITB
Matematika,Sains,Analitis,Kantor,Introvert,Auditori,SITH
Matematika,Sains,Teknis,Remote,Introvert,Visual,FTMD
Matematika,Sains,Teknis,Lapangan,Ekstrovert,Kinestetik,FSRD
Matematika,Teknologi,Kreativitas,Kantor,Introvert,Auditori,FTMD
Matematika,Kesehatan,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,STEI
Matematika,Seni,Komunikasi,Lapangan,Ekstrovert,Kinestetik,FTI
Matematika,Seni,Analitis,Remote,Introvert,Kinestetik,FMIPA
Kimia,Bisnis,Teknis,Lapangan,Ekstrovert,Auditori,FTMD
Biologi,Sains,Komunikasi,Lapangan,Ekstrovert,Auditori,FSRD
Seni Budaya,Seni,Kreativitas,Remote,Ekstrovert,Auditori,STEI
Matematika,Sains,Komunikasi,Lapangan,Introvert,Visual,FTI
Biologi,Teknologi,Pemecahan masalah,Lapangan,Introvert,Visual,SBM
Biologi,Seni,Analitis,Lapangan,Introvert,Kinestetik,SBM
Matematika,Seni,Kreativitas,Kantor,Introvert,Kinestetik,SAPPK
Seni Budaya,Sains,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FMIPA
Kimia,Teknik,Analitis,Kantor,Ekstrovert,Kinestetik,FITB
Fisika,Bisnis,Komunikasi,Kantor,Ekstrovert,Auditori,SF
Seni Budaya,Teknologi,Analitis,Kantor,Introvert,Auditori,SITH
Matematika,Sains,Komunikasi,Remote,Ekstrovert,Visual,SAPPK
Fisika,Kesehatan,Kreativitas,Lapangan,Introvert,Kinestetik,FMIPA
Biologi,Teknologi,Komunikasi,Lapangan,Introvert,Auditori,SBM
Seni Budaya,Seni,Analitis,Kantor,Introvert,Kinestetik,FTI
Biologi,Sains,Teknis,Kantor,Ekstrovert,Auditori,FTMD
Matematika,Kesehatan,Pemecahan masalah,Kantor,Introvert,Kinestetik,FTSL
Seni Budaya,Teknologi,Pemecahan masalah,Remote,Introvert,Auditori,SF
Biologi,Seni,Analitis,Remote,Introvert,Kinestetik,STEI
Biologi,Seni,Kreativitas,Kantor,Introvert,Auditori,FTSL
Matematika,Teknik,Teknis,Remote,Ekstrovert,Kinestetik,FMIPA
Matematika,Kesehatan,Analitis,Lapangan,Introvert,Visual,FTMD
Seni Budaya,Teknik,Kreativitas,Lapangan,Introvert,Kinestetik,FTMD
Biologi,Teknik,Teknis,Remote,Introvert,Auditori,SBM
Seni Budaya,Teknik,Analitis,Kantor,Ekstrovert,Auditori,FTMD
Fisika,Kesehatan,Pemecahan masalah,Lapangan,Introvert,Visual,FSRD
Seni Budaya,Bisnis,Komunikasi,Remote,Introvert,Visual,SF
Matematika,Sains,Pemecahan masalah,Kantor,Introvert,Auditori,SBM
Kimia,Bisnis,Kreativitas,Lapangan,Introvert,Kinestetik,SAPPK
Biologi,Teknik,Analitis,Remote,Introvert,Kinestetik,STEI
Seni Budaya,Sains,Komunikasi,Kantor,Introvert,Auditori,FITB
Seni Budaya,Bisnis,Pemecahan masalah,Remote,Introvert,Visual,FSRD
Seni Budaya,Teknologi,Komunikasi,Lapangan,Ekstrovert,Kinestetik,SITH
Matematika,Kesehatan,Kreativitas,Lapangan,Ekstrovert,Visual,FTSL
Kimia,Sains,Analitis,Remote,Introvert,Kinestetik,SF
Seni Budaya,Bisnis,Analitis,Kantor,Ekstrovert,Visual,SF
Seni Budaya,Teknologi,Komunikasi,Lapangan,Ekstrovert,Visual,FTI
Fisika,Seni,Kreativitas,Kantor,Ekstrovert,Kinestetik,FITB
Kimia,Bisnis,Analitis,Remote,Introvert,Visual,FMIPA
Matematika,Teknologi,Komunikasi,Kantor,Introvert,Kinestetik,FTTM
Kimia,Bisnis,Teknis,Kantor,Introvert,Visual,FITB
Seni Budaya,Bisnis,Komunikasi,Kantor,Introvert,Visual,FSRD
Seni Budaya,Teknologi,Teknis,Lapangan,Introvert,Kinestetik,FSRD
Biologi,Seni,Teknis,Remote,Introvert,Visual,FITB
Biologi,Seni,Komunikasi,Kantor,Introvert,Visual,FTTM
Kimia,Teknologi,Kreativitas,Kantor,Ekstrovert,Auditori,SBM
Seni Budaya,Kesehatan,Kreativitas,Lapangan,Introvert,Kinestetik,SITH
Fisika,Teknik,Teknis,Kantor,Ekstrovert,Auditori,FSRD
Biologi,Teknik,Teknis,Lapangan,Ekstrovert,Auditori,FTMD
Biologi,Teknologi,Kreativitas,Kantor,Ekstrovert,Kinestetik,FTTM
Kimia,Seni,Analitis,Kantor,Introvert,Visual,FTI
Fisika,Kesehatan,Kreativitas,Kantor,Introvert,Auditori,SITH
Fisika,Bisnis,Teknis,Lapangan,Introvert,Visual,FTTM
Kimia,Sains,Komunikasi,Remote,Introvert,Kinestetik,FSRD
Biologi,Teknologi,Kreativitas,Remote,Ekstrovert,Kinestetik,SF
Kimia,Teknik,Kreativitas,Remote,Ekstrovert,Kinestetik,STEI
Seni Budaya,Teknik,Komunikasi,Lapangan,Ekstrovert,Auditori,FITB
Seni Budaya,Teknologi,Analitis,Kantor,Ekstrovert,Visual,FITB
Biologi,Seni,Teknis,Lapangan,Ekstrovert,Visual,FTI
Biologi,Bisnis,Pemecahan masalah,Kantor,Ekstrovert,Visual,SAPPK
Biologi,Kesehatan,Teknis,Lapangan,Introvert,Kinestetik,FTSL
Matematika,Seni,Analitis,Kantor,Ekstrovert,Visual,FTMD
Biologi,Seni,Kreativitas,Lapangan,Ekstrovert,Visual,FTI
Biologi,Sains,Teknis,Remote,Ekstrovert,Kinestetik,SITH
Matematika,Kesehatan,Teknis,Kantor,Introvert,Visual,STEI
Biologi,Teknologi,Pemecahan masalah,Remote,Introvert,Visual,STEI
Fisika,Teknologi,Analitis,Remote,Ekstrovert,Kinestetik,SF
Biologi,Teknologi,Kreativitas,Kantor,Ekstrovert,Visual,FMIPA
Fisika,Teknologi,Komunikasi,Lapangan,Ekstrovert,Visual,SBM
Biologi,Sains,Teknis,Remote,Ekstrovert,Auditori,STEI
Fisika,Sains,Komunikasi,Lapangan,Ekstrovert,Kinestetik,FSRD
Matematika,Teknik,Komunikasi,Remote,Ekstrovert,Kinestetik,STEI
Matematika,Bisnis,Analitis,Lapangan,Introvert,Visual,SAPPK
Matematika,Bisnis,Analitis,Kantor,Introvert,Auditori,SITH
Kimia,Teknologi,Analitis,Lapangan,Introvert,Kinestetik,SITH
Biologi,Bisnis,Kreativitas,Remote,Introvert,Auditori,FTSL
Matematika,Sains,Pemecahan masalah,Lapangan,Introvert,Visual,SAPPK
Fisika,Sains,Pemecahan masalah,Remote,Introvert,Kinestetik,SITH
Matematika,Bisnis,Komunikasi,Lapangan,Introvert,Auditori,FITB
Kimia,Bisnis,Kreativitas,Remote,Introvert,Auditori,FITB
Kimia,Teknologi,Kreativitas,Lapangan,Introvert,Auditori,FITB
Seni Budaya,Sains,Kreativitas,Remote,Introvert,Auditori,FSRD
Matematika,Seni,Kreativitas,Remote,Ekstrovert,Auditori,FTSL
Kimia,Teknologi,Pemecahan masalah,Kantor,Ekstrovert,Auditori,STEI
Fisika,Sains,Pemecahan masalah,Lapangan,Introvert,Auditori,STEI
Fisika,Bisnis,Komunikasi,Remote,Introvert,Auditori,FSRD
Kimia,Bisnis,Teknis,Remote,Ekstrovert,Kinestetik,SBM
Biologi,Bisnis,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FITB
Kimia,Seni,Pemecahan masalah,Kantor,Introvert,Kinestetik,FITB
Fisika,Teknologi,Analitis,Remote,Introvert,Visual,FMIPA
Fisika,Seni,Pemecahan masalah,Kantor,Introvert,Kinestetik,FSRD
Kimia,Teknologi,Kreativitas,Lapangan,Ekstrovert,Auditori,FSRD
Kimia,Bisnis,Komunikasi,Lapangan,Ekstrovert,Visual,FTMD
Seni Budaya,Sains,Kreativitas,Kantor,Ekstrovert,Visual,SAPPK
Seni Budaya,Sains,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FTSL
Biologi,Kesehatan,Analitis,Remote,Introvert,Kinestetik,SBM
Biologi,Sains,Komunikasi,Lapangan,Introvert,Visual,FTMD
Seni Budaya,Sains,Analitis,Remote,Ekstrovert,Auditori,FITB
Matematika,Sains,Analitis,Lapangan,Introvert,Kinestetik,FTMD
Seni Budaya,Bisnis,Pemecahan masalah,Remote,Ekstrovert,Auditori,FTI
Fisika,Kesehatan,Teknis,Remote,Introvert,Kinestetik,FSRD
Kimia,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FITB
Matematika,Kesehatan,Teknis,Remote,Ekstrovert,Visual,SAPPK
Kimia,Sains,Kreativitas,Lapangan,Introvert,Auditori,STEI
Seni Budaya,Seni,Analitis,Kantor,Introvert,Auditori,SF
Matematika,Seni,Pemecahan masalah,Lapangan,Ekstrovert,Visual,SITH
Fisika,Teknik,Kreativitas,Remote,Introvert,Visual,FTTM
Kimia,Bisnis,Teknis,Remote,Ekstrovert,Kinestetik,SITH
Biologi,Bisnis,Kreativitas,Remote,Introvert,Kinestetik,STEI
Seni Budaya,Teknik,Teknis,Kantor,Introvert,Visual,SITH
Matematika,Seni,Kreativitas,Remote,Introvert,Visual,SF
Fisika,Seni,Teknis,Kantor,Ekstrovert,Auditori,FTMD
Kimia,Sains,Komunikasi,Kantor,Introvert,Visual,FTMD
Kimia,Teknologi,Analitis,Kantor,Ekstrovert,Auditori,SITH
Kimia,Bisnis,Pemecahan masalah,Kantor,Introvert,Kinestetik,SBM
Seni Budaya,Teknik,Komunikasi,Kantor,Ekstrovert,Auditori,SAPPK
Matematika,Seni,Komunikasi,Kantor,Ekstrovert,Kinestetik,FITB
Biologi,Teknologi,Teknis,Kantor,Introvert,Kinestetik,FSRD
Biologi,Bisnis,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,STEI
Fisika,Bisnis,Komunikasi,Kantor,Introvert,Visual,SITH
Biologi,Kesehatan,Komunikasi,Remote,Ekstrovert,Kinestetik,SITH
Fisika,Teknologi,Teknis,Lapangan,Ekstrovert,Visual,SBM
Seni Budaya,Kesehatan,Kreativitas,Remote,Introvert,Visual,FTTM
Matematika,Bisnis,Teknis,Lapangan,Ekstrovert,Auditori,FMIPA
Seni Budaya,Sains,Teknis,Remote,Introvert,Auditori,SF
Kimia,Teknik,Komunikasi,Kantor,Ekstrovert,Kinestetik,FTI
Biologi,Teknik,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FTTM
Biologi,Bisnis,Pemecahan masalah,Kantor,Introvert,Auditori,FSRD
Seni Budaya,Teknologi,Teknis,Lapangan,Ekstrovert,Kinestetik,FTSL
Fisika,Sains,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FMIPA
Seni Budaya,Kesehatan,Teknis,Kantor,Introvert,Visual,SF
Matematika,Sains,Analitis,Lapangan,Ekstrovert,Visual,FTI
Matematika,Sains,Analitis,Remote,Ekstrovert,Visual,SF
Matematika,Bisnis,Teknis,Remote,Ekstrovert,Visual,FSRD
Fisika,Bisnis,Pemecahan masalah,Kantor,Ekstrovert,Visual,FTSL
Matematika,Kesehatan,Analitis,Remote,Introvert,Auditori,FTMD
Biologi,Sains,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FTMD
Biologi,Sains,Teknis,Remote,Ekstrovert,Kinestetik,FSRD
Fisika,Bisnis,Analitis,Kantor,Introvert,Auditori,FTMD
Kimia,Teknik,Analitis,Lapangan,Ekstrovert,Auditori,SF
Biologi,Teknik,Teknis,Kantor,Ekstrovert,Kinestetik,FTI
Matematika,Bisnis,Teknis,Lapangan,Introvert,Visual,FTMD
Fisika,Teknologi,Kreativitas,Remote,Ekstrovert,Auditori,FTI
Matematika,Kesehatan,Komunikasi,Remote,Introvert,Kinestetik,FTI
Matematika,Bisnis,Teknis,Kantor,Introvert,Visual,FMIPA
Biologi,Teknologi,Pemecahan masalah,Remote,Introvert,Visual,FTTM
Seni Budaya,Teknik,Analitis,Lapangan,Ekstrovert,Visual,SAPPK
Seni Budaya,Kesehatan,Komunikasi,Remote,Introvert,Kinestetik,FMIPA
Fisika,Kesehatan,Kreativitas,Remote,Introvert,Kinestetik,SITH
Biologi,Seni,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,SAPPK
Fisika,Kesehatan,Pemecahan masalah,Remote,Ekstrovert,Visual,FMIPA
Kimia,Bisnis,Pemecahan masalah,Kantor,Introvert,Visual,FTMD
Biologi,Sains,Komunikasi,Lapangan,Introvert,Visual,FMIPA
Fisika,Seni,Teknis,Lapangan,Introvert,Visual,STEI
